system:index,land_area_m2,year,.geo
1_16,15197.477966308594,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,288752.18963623047,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,220810.49951171875,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,557837.0739746094,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,543533.6474609375,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,987836.5696411133,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,257463.2880859375,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,211870.87646484375,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,1363303.8151245117,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,424635.6217651367,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,217234.5313720703,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,154656.76892089844,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,1079021.329711914,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,244947.67016601562,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,158232.61517333984,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,170748.18212890625,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,3353280.9587402344,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,881454.1522216797,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,572140.6936645508,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,2348484.1826448645,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,2803349.9117390057,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2075102.2810592651,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,5141618.650627136,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
